"","n_trees","mtry","F1"
"1",10,3,0.664396308589628
"2",10,6,0.704188330999022
"3",10,12,0.710462193741486
"4",10,38,0.708850559275532
"5",20,3,0.661441645402045
"6",20,6,0.717369198595576
"7",20,12,0.72302910535101
"8",20,38,0.714472093781777
"9",100,3,0.671341685692907
"10",100,6,0.726674469024002
"11",100,12,0.731950653287542
"12",100,38,0.721993054622897
"13",200,3,0.669384700984248
"14",200,6,0.727710519752115
"15",200,12,0.733773335124038
"16",200,38,0.722913988603442
"17",500,3,0.669653306728574
"18",500,6,0.727748892001305
"19",500,12,0.734425663360258
"20",500,38,0.722837244105063
